/data/xunjian_yin/miniconda3/envs/apex/lib/python3.8/site-packages/torch/distributed/distributed_c10d.py:2978: UserWarning: torch.distributed._all_gather_base is a private function and will be deprecated. Please use torch.distributed.all_gather_into_tensor instead.
  warnings.warn(
(min, max) time across ranks (ms):
    model-and-optimizer-setup ......................: (2102.79, 6217.37)
    train/valid/test-data-iterators-setup ..........: (78921.49, 82822.24)
/data/xunjian_yin/miniconda3/envs/apex/lib/python3.8/site-packages/torch/distributed/distributed_c10d.py:3387: UserWarning: torch.distributed._reduce_scatter_base is a private function and will be deprecated. Please use torch.distributed.reduce_scatter_tensor instead.
  warnings.warn(
/data/xunjian_yin/mycode/MAP-NEO/Megatron-LM-NEO/megatron/training.py:533: UserWarning: The torch.cuda.*DtypeTensor constructors are no longer recommended. It's best to use methods such as torch.tensor(data, dtype=*, device='cuda') to create tensors. (Triggered internally at /opt/conda/conda-bld/pytorch_1716905975447/work/torch/csrc/tensor/python_tensor.cpp:78.)
  key, torch.cuda.FloatTensor([0.0])) + loss_dict[key]
 iteration        1/   51900 | consumed samples:         1024 | elapsed time per iteration (ms): 52794.2 | learning rate: 1.000E-07 | global batch size:  1024 | lm loss: 1.172341E+01 | loss scale: 1.0 | grad norm: 39.729 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration        2/   51900 | consumed samples:         2048 | elapsed time per iteration (ms): 40261.0 | learning rate: 2.000E-07 | global batch size:  1024 | lm loss: 1.172386E+01 | loss scale: 1.0 | grad norm: 42.245 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration        3/   51900 | consumed samples:         3072 | elapsed time per iteration (ms): 40337.0 | learning rate: 3.000E-07 | global batch size:  1024 | lm loss: 1.171209E+01 | loss scale: 1.0 | grad norm: 32.954 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration        4/   51900 | consumed samples:         4096 | elapsed time per iteration (ms): 40332.9 | learning rate: 4.000E-07 | global batch size:  1024 | lm loss: 1.172113E+01 | loss scale: 1.0 | grad norm: 47.307 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration        5/   51900 | consumed samples:         5120 | elapsed time per iteration (ms): 40330.7 | learning rate: 5.000E-07 | global batch size:  1024 | lm loss: 1.169072E+01 | loss scale: 1.0 | grad norm: 48.068 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration        6/   51900 | consumed samples:         6144 | elapsed time per iteration (ms): 40333.6 | learning rate: 6.000E-07 | global batch size:  1024 | lm loss: 1.161611E+01 | loss scale: 1.0 | grad norm: 35.678 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration        7/   51900 | consumed samples:         7168 | elapsed time per iteration (ms): 40366.8 | learning rate: 7.000E-07 | global batch size:  1024 | lm loss: 1.157150E+01 | loss scale: 1.0 | grad norm: 38.299 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration        8/   51900 | consumed samples:         8192 | elapsed time per iteration (ms): 40354.9 | learning rate: 8.000E-07 | global batch size:  1024 | lm loss: 1.135126E+01 | loss scale: 1.0 | grad norm: 23.699 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration        9/   51900 | consumed samples:         9216 | elapsed time per iteration (ms): 40367.4 | learning rate: 9.000E-07 | global batch size:  1024 | lm loss: 1.120748E+01 | loss scale: 1.0 | grad norm: 25.658 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration       10/   51900 | consumed samples:        10240 | elapsed time per iteration (ms): 40355.9 | learning rate: 1.000E-06 | global batch size:  1024 | lm loss: 1.121559E+01 | loss scale: 1.0 | grad norm: 19.492 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration       11/   51900 | consumed samples:        11264 | elapsed time per iteration (ms): 40381.0 | learning rate: 1.100E-06 | global batch size:  1024 | lm loss: 1.096050E+01 | loss scale: 1.0 | grad norm: 14.264 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration       12/   51900 | consumed samples:        12288 | elapsed time per iteration (ms): 40366.0 | learning rate: 1.200E-06 | global batch size:  1024 | lm loss: 1.090178E+01 | loss scale: 1.0 | grad norm: 14.807 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration       13/   51900 | consumed samples:        13312 | elapsed time per iteration (ms): 40366.7 | learning rate: 1.300E-06 | global batch size:  1024 | lm loss: 1.080068E+01 | loss scale: 1.0 | grad norm: 14.743 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration       14/   51900 | consumed samples:        14336 | elapsed time per iteration (ms): 40371.4 | learning rate: 1.400E-06 | global batch size:  1024 | lm loss: 1.055733E+01 | loss scale: 1.0 | grad norm: 12.664 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration       15/   51900 | consumed samples:        15360 | elapsed time per iteration (ms): 40377.1 | learning rate: 1.500E-06 | global batch size:  1024 | lm loss: 1.033337E+01 | loss scale: 1.0 | grad norm: 23.839 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration       16/   51900 | consumed samples:        16384 | elapsed time per iteration (ms): 40368.1 | learning rate: 1.600E-06 | global batch size:  1024 | lm loss: 1.016649E+01 | loss scale: 1.0 | grad norm: 21.269 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration       17/   51900 | consumed samples:        17408 | elapsed time per iteration (ms): 40363.1 | learning rate: 1.700E-06 | global batch size:  1024 | lm loss: 1.000422E+01 | loss scale: 1.0 | grad norm: 13.393 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration       18/   51900 | consumed samples:        18432 | elapsed time per iteration (ms): 40344.6 | learning rate: 1.800E-06 | global batch size:  1024 | lm loss: 9.847176E+00 | loss scale: 1.0 | grad norm: 14.349 | number of skipped iterations:   0 | number of nan iterations:   0 |
