/data/xunjian_yin/miniconda3/envs/apex/lib/python3.8/site-packages/torch/distributed/distributed_c10d.py:2978: UserWarning: torch.distributed._all_gather_base is a private function and will be deprecated. Please use torch.distributed.all_gather_into_tensor instead.
  warnings.warn(
(min, max) time across ranks (ms):
    load-checkpoint ................................: (44864.35, 44864.67)
(min, max) time across ranks (ms):
    model-and-optimizer-setup ......................: (49970.06, 50047.96)
    train/valid/test-data-iterators-setup ..........: (7255.42, 10663.08)
/data/xunjian_yin/miniconda3/envs/apex/lib/python3.8/site-packages/torch/distributed/distributed_c10d.py:3387: UserWarning: torch.distributed._reduce_scatter_base is a private function and will be deprecated. Please use torch.distributed.reduce_scatter_tensor instead.
  warnings.warn(
/data/xunjian_yin/mycode/MAP-NEO/Megatron-LM-NEO/megatron/training.py:533: UserWarning: The torch.cuda.*DtypeTensor constructors are no longer recommended. It's best to use methods such as torch.tensor(data, dtype=*, device='cuda') to create tensors. (Triggered internally at /opt/conda/conda-bld/pytorch_1716905975447/work/torch/csrc/tensor/python_tensor.cpp:78.)
  key, torch.cuda.FloatTensor([0.0])) + loss_dict[key]
 iteration     4001/   51900 | consumed samples:      4097024 | elapsed time per iteration (ms): 46034.8 | learning rate: 1.993E-04 | global batch size:  1024 | lm loss: 2.194376E+00 | loss scale: 1.0 | grad norm: 0.100 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     4002/   51900 | consumed samples:      4098048 | elapsed time per iteration (ms): 38123.3 | learning rate: 1.993E-04 | global batch size:  1024 | lm loss: 2.208140E+00 | loss scale: 1.0 | grad norm: 0.116 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     4003/   51900 | consumed samples:      4099072 | elapsed time per iteration (ms): 38120.7 | learning rate: 1.993E-04 | global batch size:  1024 | lm loss: 2.180040E+00 | loss scale: 1.0 | grad norm: 0.120 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     4004/   51900 | consumed samples:      4100096 | elapsed time per iteration (ms): 38126.7 | learning rate: 1.993E-04 | global batch size:  1024 | lm loss: 2.189398E+00 | loss scale: 1.0 | grad norm: 0.105 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     4005/   51900 | consumed samples:      4101120 | elapsed time per iteration (ms): 38125.8 | learning rate: 1.993E-04 | global batch size:  1024 | lm loss: 2.172340E+00 | loss scale: 1.0 | grad norm: 0.095 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     4006/   51900 | consumed samples:      4102144 | elapsed time per iteration (ms): 38104.7 | learning rate: 1.993E-04 | global batch size:  1024 | lm loss: 2.189300E+00 | loss scale: 1.0 | grad norm: 0.114 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     4007/   51900 | consumed samples:      4103168 | elapsed time per iteration (ms): 38110.9 | learning rate: 1.993E-04 | global batch size:  1024 | lm loss: 2.198878E+00 | loss scale: 1.0 | grad norm: 0.106 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     4008/   51900 | consumed samples:      4104192 | elapsed time per iteration (ms): 38080.0 | learning rate: 1.993E-04 | global batch size:  1024 | lm loss: 2.178534E+00 | loss scale: 1.0 | grad norm: 0.105 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     4009/   51900 | consumed samples:      4105216 | elapsed time per iteration (ms): 38096.4 | learning rate: 1.993E-04 | global batch size:  1024 | lm loss: 2.194846E+00 | loss scale: 1.0 | grad norm: 0.124 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     4010/   51900 | consumed samples:      4106240 | elapsed time per iteration (ms): 38086.6 | learning rate: 1.993E-04 | global batch size:  1024 | lm loss: 2.191357E+00 | loss scale: 1.0 | grad norm: 0.093 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     4011/   51900 | consumed samples:      4107264 | elapsed time per iteration (ms): 38119.0 | learning rate: 1.993E-04 | global batch size:  1024 | lm loss: 2.183728E+00 | loss scale: 1.0 | grad norm: 0.101 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     4012/   51900 | consumed samples:      4108288 | elapsed time per iteration (ms): 38102.7 | learning rate: 1.993E-04 | global batch size:  1024 | lm loss: 2.188618E+00 | loss scale: 1.0 | grad norm: 0.094 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     4013/   51900 | consumed samples:      4109312 | elapsed time per iteration (ms): 38113.0 | learning rate: 1.993E-04 | global batch size:  1024 | lm loss: 2.194057E+00 | loss scale: 1.0 | grad norm: 0.108 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     4014/   51900 | consumed samples:      4110336 | elapsed time per iteration (ms): 38097.0 | learning rate: 1.993E-04 | global batch size:  1024 | lm loss: 2.194836E+00 | loss scale: 1.0 | grad norm: 0.122 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     4015/   51900 | consumed samples:      4111360 | elapsed time per iteration (ms): 38143.9 | learning rate: 1.993E-04 | global batch size:  1024 | lm loss: 2.190593E+00 | loss scale: 1.0 | grad norm: 0.126 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     4016/   51900 | consumed samples:      4112384 | elapsed time per iteration (ms): 38076.1 | learning rate: 1.993E-04 | global batch size:  1024 | lm loss: 2.197355E+00 | loss scale: 1.0 | grad norm: 0.141 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     4017/   51900 | consumed samples:      4113408 | elapsed time per iteration (ms): 38100.1 | learning rate: 1.993E-04 | global batch size:  1024 | lm loss: 2.191234E+00 | loss scale: 1.0 | grad norm: 0.115 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     4018/   51900 | consumed samples:      4114432 | elapsed time per iteration (ms): 38094.9 | learning rate: 1.993E-04 | global batch size:  1024 | lm loss: 2.215256E+00 | loss scale: 1.0 | grad norm: 0.105 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     4019/   51900 | consumed samples:      4115456 | elapsed time per iteration (ms): 38108.2 | learning rate: 1.993E-04 | global batch size:  1024 | lm loss: 2.166302E+00 | loss scale: 1.0 | grad norm: 0.107 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     4020/   51900 | consumed samples:      4116480 | elapsed time per iteration (ms): 38094.7 | learning rate: 1.993E-04 | global batch size:  1024 | lm loss: 2.199064E+00 | loss scale: 1.0 | grad norm: 0.116 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     4021/   51900 | consumed samples:      4117504 | elapsed time per iteration (ms): 38100.0 | learning rate: 1.993E-04 | global batch size:  1024 | lm loss: 2.174031E+00 | loss scale: 1.0 | grad norm: 0.119 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     4022/   51900 | consumed samples:      4118528 | elapsed time per iteration (ms): 38068.6 | learning rate: 1.993E-04 | global batch size:  1024 | lm loss: 2.167120E+00 | loss scale: 1.0 | grad norm: 0.102 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     4023/   51900 | consumed samples:      4119552 | elapsed time per iteration (ms): 38078.2 | learning rate: 1.993E-04 | global batch size:  1024 | lm loss: 2.170498E+00 | loss scale: 1.0 | grad norm: 0.096 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     4024/   51900 | consumed samples:      4120576 | elapsed time per iteration (ms): 38086.4 | learning rate: 1.993E-04 | global batch size:  1024 | lm loss: 2.187161E+00 | loss scale: 1.0 | grad norm: 0.095 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     4025/   51900 | consumed samples:      4121600 | elapsed time per iteration (ms): 38112.5 | learning rate: 1.993E-04 | global batch size:  1024 | lm loss: 2.179552E+00 | loss scale: 1.0 | grad norm: 0.101 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     4026/   51900 | consumed samples:      4122624 | elapsed time per iteration (ms): 38102.3 | learning rate: 1.993E-04 | global batch size:  1024 | lm loss: 2.172012E+00 | loss scale: 1.0 | grad norm: 0.094 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     4027/   51900 | consumed samples:      4123648 | elapsed time per iteration (ms): 38132.5 | learning rate: 1.993E-04 | global batch size:  1024 | lm loss: 2.197932E+00 | loss scale: 1.0 | grad norm: 0.084 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     4028/   51900 | consumed samples:      4124672 | elapsed time per iteration (ms): 38098.0 | learning rate: 1.993E-04 | global batch size:  1024 | lm loss: 2.176935E+00 | loss scale: 1.0 | grad norm: 0.150 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     4029/   51900 | consumed samples:      4125696 | elapsed time per iteration (ms): 38124.3 | learning rate: 1.993E-04 | global batch size:  1024 | lm loss: 2.186099E+00 | loss scale: 1.0 | grad norm: 0.089 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     4030/   51900 | consumed samples:      4126720 | elapsed time per iteration (ms): 38109.0 | learning rate: 1.993E-04 | global batch size:  1024 | lm loss: 2.179132E+00 | loss scale: 1.0 | grad norm: 0.093 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     4031/   51900 | consumed samples:      4127744 | elapsed time per iteration (ms): 38085.5 | learning rate: 1.993E-04 | global batch size:  1024 | lm loss: 2.194100E+00 | loss scale: 1.0 | grad norm: 0.097 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     4032/   51900 | consumed samples:      4128768 | elapsed time per iteration (ms): 38099.7 | learning rate: 1.993E-04 | global batch size:  1024 | lm loss: 2.175489E+00 | loss scale: 1.0 | grad norm: 0.115 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     4033/   51900 | consumed samples:      4129792 | elapsed time per iteration (ms): 38087.8 | learning rate: 1.993E-04 | global batch size:  1024 | lm loss: 2.167469E+00 | loss scale: 1.0 | grad norm: 0.128 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     4034/   51900 | consumed samples:      4130816 | elapsed time per iteration (ms): 38078.0 | learning rate: 1.993E-04 | global batch size:  1024 | lm loss: 2.187342E+00 | loss scale: 1.0 | grad norm: 0.118 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     4035/   51900 | consumed samples:      4131840 | elapsed time per iteration (ms): 38086.9 | learning rate: 1.993E-04 | global batch size:  1024 | lm loss: 2.210567E+00 | loss scale: 1.0 | grad norm: 0.129 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     4036/   51900 | consumed samples:      4132864 | elapsed time per iteration (ms): 38122.2 | learning rate: 1.993E-04 | global batch size:  1024 | lm loss: 2.186033E+00 | loss scale: 1.0 | grad norm: 0.149 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     4037/   51900 | consumed samples:      4133888 | elapsed time per iteration (ms): 38093.2 | learning rate: 1.993E-04 | global batch size:  1024 | lm loss: 2.198634E+00 | loss scale: 1.0 | grad norm: 0.134 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     4038/   51900 | consumed samples:      4134912 | elapsed time per iteration (ms): 38091.9 | learning rate: 1.993E-04 | global batch size:  1024 | lm loss: 2.175802E+00 | loss scale: 1.0 | grad norm: 0.138 | number of skipped iterations:   0 | number of nan iterations:   0 |
