/data/xunjian_yin/miniconda3/envs/apex/lib/python3.8/site-packages/torch/distributed/distributed_c10d.py:2978: UserWarning: torch.distributed._all_gather_base is a private function and will be deprecated. Please use torch.distributed.all_gather_into_tensor instead.
  warnings.warn(
(min, max) time across ranks (ms):
    load-checkpoint ................................: (58356.41, 58356.57)
(min, max) time across ranks (ms):
    model-and-optimizer-setup ......................: (64279.22, 64309.93)
    train/valid/test-data-iterators-setup ..........: (130936.87, 134026.11)
/data/xunjian_yin/miniconda3/envs/apex/lib/python3.8/site-packages/torch/distributed/distributed_c10d.py:3387: UserWarning: torch.distributed._reduce_scatter_base is a private function and will be deprecated. Please use torch.distributed.reduce_scatter_tensor instead.
  warnings.warn(
/data/xunjian_yin/mycode/MAP-NEO/Megatron-LM-NEO/megatron/training.py:533: UserWarning: The torch.cuda.*DtypeTensor constructors are no longer recommended. It's best to use methods such as torch.tensor(data, dtype=*, device='cuda') to create tensors. (Triggered internally at /opt/conda/conda-bld/pytorch_1716905975447/work/torch/csrc/tensor/python_tensor.cpp:78.)
  key, torch.cuda.FloatTensor([0.0])) + loss_dict[key]
 iteration     8001/   51900 | consumed samples:      8193024 | elapsed time per iteration (ms): 45353.6 | learning rate: 1.937E-04 | global batch size:  1024 | lm loss: 2.050100E+00 | loss scale: 1.0 | grad norm: 0.094 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     8002/   51900 | consumed samples:      8194048 | elapsed time per iteration (ms): 37949.5 | learning rate: 1.937E-04 | global batch size:  1024 | lm loss: 2.035604E+00 | loss scale: 1.0 | grad norm: 0.098 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     8003/   51900 | consumed samples:      8195072 | elapsed time per iteration (ms): 37877.7 | learning rate: 1.936E-04 | global batch size:  1024 | lm loss: 2.034473E+00 | loss scale: 1.0 | grad norm: 0.104 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     8004/   51900 | consumed samples:      8196096 | elapsed time per iteration (ms): 37913.6 | learning rate: 1.936E-04 | global batch size:  1024 | lm loss: 2.013325E+00 | loss scale: 1.0 | grad norm: 0.101 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     8005/   51900 | consumed samples:      8197120 | elapsed time per iteration (ms): 37906.9 | learning rate: 1.936E-04 | global batch size:  1024 | lm loss: 2.022625E+00 | loss scale: 1.0 | grad norm: 0.092 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     8006/   51900 | consumed samples:      8198144 | elapsed time per iteration (ms): 37906.9 | learning rate: 1.936E-04 | global batch size:  1024 | lm loss: 2.044175E+00 | loss scale: 1.0 | grad norm: 0.088 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     8007/   51900 | consumed samples:      8199168 | elapsed time per iteration (ms): 37900.6 | learning rate: 1.936E-04 | global batch size:  1024 | lm loss: 2.016718E+00 | loss scale: 1.0 | grad norm: 0.090 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     8008/   51900 | consumed samples:      8200192 | elapsed time per iteration (ms): 37900.9 | learning rate: 1.936E-04 | global batch size:  1024 | lm loss: 2.014359E+00 | loss scale: 1.0 | grad norm: 0.094 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     8009/   51900 | consumed samples:      8201216 | elapsed time per iteration (ms): 37949.0 | learning rate: 1.936E-04 | global batch size:  1024 | lm loss: 2.031004E+00 | loss scale: 1.0 | grad norm: 0.090 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     8010/   51900 | consumed samples:      8202240 | elapsed time per iteration (ms): 37867.5 | learning rate: 1.936E-04 | global batch size:  1024 | lm loss: 2.022691E+00 | loss scale: 1.0 | grad norm: 0.091 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     8011/   51900 | consumed samples:      8203264 | elapsed time per iteration (ms): 37894.3 | learning rate: 1.936E-04 | global batch size:  1024 | lm loss: 2.035610E+00 | loss scale: 1.0 | grad norm: 0.086 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     8012/   51900 | consumed samples:      8204288 | elapsed time per iteration (ms): 37925.2 | learning rate: 1.936E-04 | global batch size:  1024 | lm loss: 2.032951E+00 | loss scale: 1.0 | grad norm: 0.084 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     8013/   51900 | consumed samples:      8205312 | elapsed time per iteration (ms): 37873.1 | learning rate: 1.936E-04 | global batch size:  1024 | lm loss: 2.029554E+00 | loss scale: 1.0 | grad norm: 0.081 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     8014/   51900 | consumed samples:      8206336 | elapsed time per iteration (ms): 37893.8 | learning rate: 1.936E-04 | global batch size:  1024 | lm loss: 2.024047E+00 | loss scale: 1.0 | grad norm: 0.080 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     8015/   51900 | consumed samples:      8207360 | elapsed time per iteration (ms): 37961.9 | learning rate: 1.936E-04 | global batch size:  1024 | lm loss: 2.045227E+00 | loss scale: 1.0 | grad norm: 0.073 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     8016/   51900 | consumed samples:      8208384 | elapsed time per iteration (ms): 37927.2 | learning rate: 1.936E-04 | global batch size:  1024 | lm loss: 2.037301E+00 | loss scale: 1.0 | grad norm: 0.075 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     8017/   51900 | consumed samples:      8209408 | elapsed time per iteration (ms): 37911.2 | learning rate: 1.936E-04 | global batch size:  1024 | lm loss: 2.030686E+00 | loss scale: 1.0 | grad norm: 0.071 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     8018/   51900 | consumed samples:      8210432 | elapsed time per iteration (ms): 37943.3 | learning rate: 1.936E-04 | global batch size:  1024 | lm loss: 2.041811E+00 | loss scale: 1.0 | grad norm: 0.079 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     8019/   51900 | consumed samples:      8211456 | elapsed time per iteration (ms): 37876.7 | learning rate: 1.936E-04 | global batch size:  1024 | lm loss: 2.026816E+00 | loss scale: 1.0 | grad norm: 0.084 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     8020/   51900 | consumed samples:      8212480 | elapsed time per iteration (ms): 37910.4 | learning rate: 1.936E-04 | global batch size:  1024 | lm loss: 2.035744E+00 | loss scale: 1.0 | grad norm: 0.081 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     8021/   51900 | consumed samples:      8213504 | elapsed time per iteration (ms): 37922.3 | learning rate: 1.936E-04 | global batch size:  1024 | lm loss: 2.034733E+00 | loss scale: 1.0 | grad norm: 0.092 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     8022/   51900 | consumed samples:      8214528 | elapsed time per iteration (ms): 37916.8 | learning rate: 1.936E-04 | global batch size:  1024 | lm loss: 2.012958E+00 | loss scale: 1.0 | grad norm: 0.094 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     8023/   51900 | consumed samples:      8215552 | elapsed time per iteration (ms): 37888.8 | learning rate: 1.936E-04 | global batch size:  1024 | lm loss: 2.023358E+00 | loss scale: 1.0 | grad norm: 0.085 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     8024/   51900 | consumed samples:      8216576 | elapsed time per iteration (ms): 37912.5 | learning rate: 1.936E-04 | global batch size:  1024 | lm loss: 2.015150E+00 | loss scale: 1.0 | grad norm: 0.086 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     8025/   51900 | consumed samples:      8217600 | elapsed time per iteration (ms): 37879.3 | learning rate: 1.936E-04 | global batch size:  1024 | lm loss: 2.039344E+00 | loss scale: 1.0 | grad norm: 0.096 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     8026/   51900 | consumed samples:      8218624 | elapsed time per iteration (ms): 37922.1 | learning rate: 1.936E-04 | global batch size:  1024 | lm loss: 2.043008E+00 | loss scale: 1.0 | grad norm: 0.110 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     8027/   51900 | consumed samples:      8219648 | elapsed time per iteration (ms): 37851.2 | learning rate: 1.936E-04 | global batch size:  1024 | lm loss: 2.037313E+00 | loss scale: 1.0 | grad norm: 0.111 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     8028/   51900 | consumed samples:      8220672 | elapsed time per iteration (ms): 37913.8 | learning rate: 1.936E-04 | global batch size:  1024 | lm loss: 2.015952E+00 | loss scale: 1.0 | grad norm: 0.104 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     8029/   51900 | consumed samples:      8221696 | elapsed time per iteration (ms): 37892.5 | learning rate: 1.936E-04 | global batch size:  1024 | lm loss: 2.048570E+00 | loss scale: 1.0 | grad norm: 0.086 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     8030/   51900 | consumed samples:      8222720 | elapsed time per iteration (ms): 37906.8 | learning rate: 1.936E-04 | global batch size:  1024 | lm loss: 2.034670E+00 | loss scale: 1.0 | grad norm: 0.085 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     8031/   51900 | consumed samples:      8223744 | elapsed time per iteration (ms): 37894.9 | learning rate: 1.936E-04 | global batch size:  1024 | lm loss: 2.032078E+00 | loss scale: 1.0 | grad norm: 0.100 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     8032/   51900 | consumed samples:      8224768 | elapsed time per iteration (ms): 37900.2 | learning rate: 1.936E-04 | global batch size:  1024 | lm loss: 2.040527E+00 | loss scale: 1.0 | grad norm: 0.078 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     8033/   51900 | consumed samples:      8225792 | elapsed time per iteration (ms): 37914.2 | learning rate: 1.936E-04 | global batch size:  1024 | lm loss: 2.033547E+00 | loss scale: 1.0 | grad norm: 0.080 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     8034/   51900 | consumed samples:      8226816 | elapsed time per iteration (ms): 37906.7 | learning rate: 1.936E-04 | global batch size:  1024 | lm loss: 2.030047E+00 | loss scale: 1.0 | grad norm: 0.093 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     8035/   51900 | consumed samples:      8227840 | elapsed time per iteration (ms): 37892.0 | learning rate: 1.936E-04 | global batch size:  1024 | lm loss: 2.031962E+00 | loss scale: 1.0 | grad norm: 0.080 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     8036/   51900 | consumed samples:      8228864 | elapsed time per iteration (ms): 37901.2 | learning rate: 1.936E-04 | global batch size:  1024 | lm loss: 2.040576E+00 | loss scale: 1.0 | grad norm: 0.496 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     8037/   51900 | consumed samples:      8229888 | elapsed time per iteration (ms): 37899.5 | learning rate: 1.936E-04 | global batch size:  1024 | lm loss: 2.019989E+00 | loss scale: 1.0 | grad norm: 0.073 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     8038/   51900 | consumed samples:      8230912 | elapsed time per iteration (ms): 37904.6 | learning rate: 1.936E-04 | global batch size:  1024 | lm loss: 2.037279E+00 | loss scale: 1.0 | grad norm: 0.069 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     8039/   51900 | consumed samples:      8231936 | elapsed time per iteration (ms): 37959.0 | learning rate: 1.936E-04 | global batch size:  1024 | lm loss: 2.036471E+00 | loss scale: 1.0 | grad norm: 0.074 | number of skipped iterations:   0 | number of nan iterations:   0 |
