/data/xunjian_yin/miniconda3/envs/apex/lib/python3.8/site-packages/torch/distributed/distributed_c10d.py:2978: UserWarning: torch.distributed._all_gather_base is a private function and will be deprecated. Please use torch.distributed.all_gather_into_tensor instead.
  warnings.warn(
(min, max) time across ranks (ms):
    load-checkpoint ................................: (57289.24, 57289.38)
(min, max) time across ranks (ms):
    model-and-optimizer-setup ......................: (62309.56, 62379.21)
    train/valid/test-data-iterators-setup ..........: (7176.06, 10814.68)
/data/xunjian_yin/miniconda3/envs/apex/lib/python3.8/site-packages/torch/distributed/distributed_c10d.py:3387: UserWarning: torch.distributed._reduce_scatter_base is a private function and will be deprecated. Please use torch.distributed.reduce_scatter_tensor instead.
  warnings.warn(
/data/xunjian_yin/mycode/MAP-NEO/Megatron-LM-NEO/megatron/training.py:533: UserWarning: The torch.cuda.*DtypeTensor constructors are no longer recommended. It's best to use methods such as torch.tensor(data, dtype=*, device='cuda') to create tensors. (Triggered internally at /opt/conda/conda-bld/pytorch_1716905975447/work/torch/csrc/tensor/python_tensor.cpp:78.)
  key, torch.cuda.FloatTensor([0.0])) + loss_dict[key]
 iteration    12501/   51900 | consumed samples:     12801024 | elapsed time per iteration (ms): 48349.3 | learning rate: 1.810E-04 | global batch size:  1024 | lm loss: 1.961470E+00 | loss scale: 1.0 | grad norm: 0.062 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration    12502/   51900 | consumed samples:     12802048 | elapsed time per iteration (ms): 39206.2 | learning rate: 1.810E-04 | global batch size:  1024 | lm loss: 1.947947E+00 | loss scale: 1.0 | grad norm: 0.061 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration    12503/   51900 | consumed samples:     12803072 | elapsed time per iteration (ms): 39235.6 | learning rate: 1.810E-04 | global batch size:  1024 | lm loss: 1.967843E+00 | loss scale: 1.0 | grad norm: 0.060 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration    12504/   51900 | consumed samples:     12804096 | elapsed time per iteration (ms): 39245.5 | learning rate: 1.810E-04 | global batch size:  1024 | lm loss: 1.959275E+00 | loss scale: 1.0 | grad norm: 0.062 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration    12505/   51900 | consumed samples:     12805120 | elapsed time per iteration (ms): 39265.1 | learning rate: 1.810E-04 | global batch size:  1024 | lm loss: 1.969041E+00 | loss scale: 1.0 | grad norm: 0.062 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration    12506/   51900 | consumed samples:     12806144 | elapsed time per iteration (ms): 39234.8 | learning rate: 1.810E-04 | global batch size:  1024 | lm loss: 1.944318E+00 | loss scale: 1.0 | grad norm: 0.063 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration    12507/   51900 | consumed samples:     12807168 | elapsed time per iteration (ms): 39243.6 | learning rate: 1.810E-04 | global batch size:  1024 | lm loss: 1.957566E+00 | loss scale: 1.0 | grad norm: 0.206 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration    12508/   51900 | consumed samples:     12808192 | elapsed time per iteration (ms): 39257.4 | learning rate: 1.810E-04 | global batch size:  1024 | lm loss: 1.956952E+00 | loss scale: 1.0 | grad norm: 0.062 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration    12509/   51900 | consumed samples:     12809216 | elapsed time per iteration (ms): 39269.7 | learning rate: 1.810E-04 | global batch size:  1024 | lm loss: 1.942975E+00 | loss scale: 1.0 | grad norm: 0.066 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration    12510/   51900 | consumed samples:     12810240 | elapsed time per iteration (ms): 39255.7 | learning rate: 1.810E-04 | global batch size:  1024 | lm loss: 1.962694E+00 | loss scale: 1.0 | grad norm: 0.113 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration    12511/   51900 | consumed samples:     12811264 | elapsed time per iteration (ms): 39247.4 | learning rate: 1.810E-04 | global batch size:  1024 | lm loss: 1.945462E+00 | loss scale: 1.0 | grad norm: 0.070 | number of skipped iterations:   0 | number of nan iterations:   0 |
