/data/xunjian_yin/miniconda3/envs/apex/lib/python3.8/site-packages/torch/distributed/distributed_c10d.py:2978: UserWarning: torch.distributed._all_gather_base is a private function and will be deprecated. Please use torch.distributed.all_gather_into_tensor instead.
  warnings.warn(
(min, max) time across ranks (ms):
    load-checkpoint ................................: (63570.24, 63570.40)
(min, max) time across ranks (ms):
    model-and-optimizer-setup ......................: (69732.80, 69825.87)
    train/valid/test-data-iterators-setup ..........: (7941.89, 11898.22)
/data/xunjian_yin/miniconda3/envs/apex/lib/python3.8/site-packages/torch/distributed/distributed_c10d.py:3387: UserWarning: torch.distributed._reduce_scatter_base is a private function and will be deprecated. Please use torch.distributed.reduce_scatter_tensor instead.
  warnings.warn(
 iteration    16501/   51900 | consumed samples:     16897024 | elapsed time per iteration (ms): 50478.9 | learning rate: 1.650E-04 | global batch size:  1024 | lm loss: 1.926390E+00 | loss scale: 1.0 | grad norm: 0.082 | number of skipped iterations:   0 | number of nan iterations:   0 |
/data/xunjian_yin/mycode/MAP-NEO/Megatron-LM-NEO/megatron/training.py:533: UserWarning: The torch.cuda.*DtypeTensor constructors are no longer recommended. It's best to use methods such as torch.tensor(data, dtype=*, device='cuda') to create tensors. (Triggered internally at /opt/conda/conda-bld/pytorch_1716905975447/work/torch/csrc/tensor/python_tensor.cpp:78.)
  key, torch.cuda.FloatTensor([0.0])) + loss_dict[key]
 iteration    16502/   51900 | consumed samples:     16898048 | elapsed time per iteration (ms): 41169.6 | learning rate: 1.650E-04 | global batch size:  1024 | lm loss: 1.925672E+00 | loss scale: 1.0 | grad norm: 0.103 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration    16503/   51900 | consumed samples:     16899072 | elapsed time per iteration (ms): 41113.5 | learning rate: 1.650E-04 | global batch size:  1024 | lm loss: 1.912480E+00 | loss scale: 1.0 | grad norm: 0.113 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration    16504/   51900 | consumed samples:     16900096 | elapsed time per iteration (ms): 41091.7 | learning rate: 1.650E-04 | global batch size:  1024 | lm loss: 1.890892E+00 | loss scale: 1.0 | grad norm: 0.102 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration    16505/   51900 | consumed samples:     16901120 | elapsed time per iteration (ms): 41105.8 | learning rate: 1.650E-04 | global batch size:  1024 | lm loss: 1.933490E+00 | loss scale: 1.0 | grad norm: 0.087 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration    16506/   51900 | consumed samples:     16902144 | elapsed time per iteration (ms): 41130.4 | learning rate: 1.650E-04 | global batch size:  1024 | lm loss: 1.897686E+00 | loss scale: 1.0 | grad norm: 0.091 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration    16507/   51900 | consumed samples:     16903168 | elapsed time per iteration (ms): 41105.3 | learning rate: 1.650E-04 | global batch size:  1024 | lm loss: 1.921153E+00 | loss scale: 1.0 | grad norm: 0.090 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration    16508/   51900 | consumed samples:     16904192 | elapsed time per iteration (ms): 41108.5 | learning rate: 1.650E-04 | global batch size:  1024 | lm loss: 1.900748E+00 | loss scale: 1.0 | grad norm: 0.089 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration    16509/   51900 | consumed samples:     16905216 | elapsed time per iteration (ms): 41099.1 | learning rate: 1.650E-04 | global batch size:  1024 | lm loss: 1.903660E+00 | loss scale: 1.0 | grad norm: 0.095 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration    16510/   51900 | consumed samples:     16906240 | elapsed time per iteration (ms): 41104.5 | learning rate: 1.650E-04 | global batch size:  1024 | lm loss: 1.907772E+00 | loss scale: 1.0 | grad norm: 0.081 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration    16511/   51900 | consumed samples:     16907264 | elapsed time per iteration (ms): 41117.4 | learning rate: 1.650E-04 | global batch size:  1024 | lm loss: 1.912758E+00 | loss scale: 1.0 | grad norm: 0.086 | number of skipped iterations:   0 | number of nan iterations:   0 |
